playerChoice;computerChoice;moveWinner
ROCK;ROCK;NO_WINNER
SCISSORS;ROCK;COMPUTER
EMPTY;EMPTY;NOT_SET
EMPTY;EMPTY;NOT_SET
EMPTY;EMPTY;NOT_SET
